Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Isolation_source,material,Station
SRR7976669,OTHER,252,4046892,PRJNA495018,SAMN10198718,Metagenome or environmental,1629579,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809498,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.030,55.75 N 37.61 E,MS.030,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.030,SRP164396,Microphone of emergency call point,Paper,Sretenskiy boulevard
SRR7976670,OTHER,252,8178982,PRJNA495018,SAMN10198709,Metagenome or environmental,3489237,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809497,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.014,55.75 N 37.61 E,MS.014,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.014,SRP164396,"Bench\, downside",Wood,Rimskaya
SRR7976672,OTHER,252,4867191,PRJNA495018,SAMN10198711,Metagenome or environmental,2171287,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809495,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.039,55.75 N 37.61 E,MS.039,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.039,SRP164396,Floor,Stone,Vystavochnaya
SRR7976674,OTHER,252,1794256,PRJNA495018,SAMN10198713,Metagenome or environmental,898590,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809493,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.035,55.75 N 37.61 E,MS.035,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.035,SRP164396,Floor,Stone,Sretenskiy boulevard
SRR7976675,OTHER,252,2438582,PRJNA495018,SAMN10198714,Metagenome or environmental,1054476,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809492,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.034,55.75 N 37.61 E,MS.034,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.034,SRP164396,Floor,Stone,Dostoyevskaya
SRR7976677,OTHER,252,10261319,PRJNA495018,SAMN10198716,Metagenome or environmental,4535406,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809490,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.036,55.75 N 37.61 E,MS.036,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.036,SRP164396,Floor,Stone,Rimskaya
SRR7976679,OTHER,252,8236498,PRJNA495018,SAMN10198698,Metagenome or environmental,3539783,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809488,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.004,55.75 N 37.61 E,MS.004,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.004,SRP164396,Railings near escalator,Wood,Vystavochnaya
SRR7976682,OTHER,252,11448771,PRJNA495018,SAMN10198695,Metagenome or environmental,4642163,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809485,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.001,55.75 N 37.61 E,MS.001,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.001,SRP164396,Stair railings,Steel,Dostoyevskaya
SRR7976684,OTHER,252,6671846,PRJNA495018,SAMN10198693,Metagenome or environmental,3133973,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809483,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.024,55.75 N 37.61 E,MS.024,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.024,SRP164396,Wall (at shoulder level),Stone,Sretenskiy boulevard
SRR7976685,OTHER,252,2721121,PRJNA495018,SAMN10198692,Metagenome or environmental,1148274,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809482,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.027,55.75 N 37.61 E,MS.027,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.027,SRP164396,Microphone of emergency call point,Paper,Vystavochnaya
SRR7976694,OTHER,252,4279824,PRJNA495018,SAMN10198705,Metagenome or environmental,1915549,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809473,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.028,55.75 N 37.61 E,MS.028,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.028,SRP164396,Microphone of emergency call point,Steel,Vystavochnaya
SRR7976698,OTHER,253,11688223,PRJNA495018,SAMN10198701,Metagenome or environmental,5233639,KNOMICS LLC,Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4809469,Russia,Europe,Russia:Moscow,not applicable,Illumina MiSeq,MS.021,55.75 N 37.61 E,MS.021,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2018-10-08T00:00:00Z,MS.021,SRP164396,Wall (at shoulder level),Stone,Dostoyevskaya
